"","RouteDataID","CountryNum","StateNum","Route","RouteName","Latitude","Longitude","NCar","Noise","BirdCount"
"1",6373583,124,11,313,"DUCK LAKE",49.78313,-124.17869,47,2,1
"2",6373511,124,11,339,"HAINES SUMMIT",59.78907,-136.59568,4,2,1
"3",6371445,124,4,11,"CEREAL",51.00887,-110.7956,21,0,1
"4",6372886,124,4,214,"KATHYRN",51.4154,-113.7321,0,0,1
"5",6373790,124,4,229,"CALMAR",53.3377,-113.85339,32,16,1
"6",6373469,124,43,2,"FORT MCPHERSON",67.34099,-134.87009,1,0,1
"7",6373471,124,43,3,"MACKENZIE R",67.4588,-133.7623,1,0,1
"8",6373878,124,45,1,"ELMA",49.87065,-95.97518,11,2,2
"9",6371407,124,45,112,"SPRINGER LK",50.50584,-95.46974,2,0,12
"10",6371930,124,45,209,"GRAND CLAIRI",49.50274,-100.70386,0,0,2
"11",6373611,124,45,218,"BIRNIE",50.58765,-99.44659,0,0,3
"12",6373802,124,45,26,"ZELENA",51.40373,-101.22415,5,1,1
"13",6371716,124,45,311,"Stony Creek",49.41432,-100.98697,0,0,1
"14",6373651,124,57,1,"TREPASSEY",46.70801,-53.4743,22,1,261
"15",6371183,124,68,211,"EASTONS CORNERS",44.7746,-75.97061,20,0,1
"16",6373943,124,68,326,"ESMONDE",45.37971,-77.02318,20,1,1
"17",6372788,124,75,1,"ALBERTON",47.01855,-63.99116,63,7,1
"18",6373937,124,76,102,"BLANC SABLON",51.427783,-57.152314,0,0,8
"19",6371672,124,76,107,"Les Cèdres",45.3488075,-74.0276096,38,2,2
"20",6371206,124,76,156,"LAC LA BELLE RIVIÈRE",48.09664,-71.78683,4,0,15
"21",6373757,124,76,165,"CAP D'ESPOIR",48.41961,-64.31785,46,0,50
"22",6373492,124,76,53,"ST PRIME",48.58036,-72.43237,59,11,1
"23",6373719,124,76,68,"PTE-A-LA-FRÉGATE",49.20396,-64.92619,70,0,6
"24",6373568,124,79,104,"CEYLON",49.43546,-104.58456,5,0,4
"25",6373446,124,79,121,"GOODEVE",51.03356,-103.62083,1,0,2
"26",6372215,124,79,132,"ABERDEEN",52.0567,-106.21899,46,1,1
"27",6373638,124,79,2,"ARCOLA",49.61003,-102.59344,44,0,1
"28",6373656,124,79,213,"Craven",50.75888,-104.6899,16,0,200
"29",6373449,124,79,420,"Bordeland",49.02875,-105.99056,0,0,9
"30",6371153,124,93,111,"Marsh Lake",60.586,-134.73569,35,1,1
"31",6373987,124,93,38,"LITTLE SALMON RIVER",62.18423,-135.08786,3,0,1
"32",6370776,840,14,112,"PEARBLOSSOM",34.5208799,-117.9406162,21,0,3
"33",6372053,840,14,122,"CUYAMACA PK",32.9845324,-116.6771527,145,0,1
"34",6373021,840,14,13,"WESTVILLE",39.1239687,-120.7596199,10,1,1
"35",6372046,840,14,137,"JACUMBA",32.6119997,-116.2002339,100,0,1
"36",6372230,840,14,16,"RIOVISTA",38.0878897,-121.7519384,61,2,2
"37",6371975,840,14,187,"ZAMORA",38.7939347,-121.8400349,118,0,1
"38",6373030,840,14,190,"COPPEROPOLIS",37.9834939,-120.6452578,435,7,2
"39",6373885,840,14,193,"BODEGA BAY",38.3407717,-123.0480649,93,2,1
"40",6373162,840,14,195,"GREENFIELD",36.257393,-121.4234494,76,1,4
"41",6370755,840,14,240,"WILLOW SPRINGS 2",34.971073,-118.148742,31,0,3
"42",6373476,840,14,252,"Hollister 2",36.8242987,-121.2813,196,0,2
"43",6373512,840,14,37,"VALLEY WELLS",35.473722,-115.7029053,3,0,5
"44",6371829,840,14,4,"CRESCENT CTY",41.6955943,-124.1417935,122,1,1
"45",6372275,840,14,46,"MORENO",33.9285177,-117.1214679,487,1,1
"46",6370733,840,14,49,"PALO VERDE",33.4048617,-114.7292329,85,1,93
"47",6371782,840,14,51,"ANZA BORREGO",32.903954,-116.23272,38,1,20
"48",6372966,840,14,57,"MORRO BAY",35.2565319,-120.8880009,398,0,1
"49",6373513,840,14,64,"TECOPA",35.8040435,-116.1930811,21,0,4
"50",6370811,840,14,83,"FAIRFAX",37.9851247,-122.5909499,151,0,36
"51",6373761,840,14,88,"COTTONWOOD",33.6738577,-115.8016279,5,2,3
"52",6370734,840,14,89,"NILAND",33.2200507,-115.4847789,20,7,27
"53",6370885,840,14,907,"CHOLLA GARD.",33.9250177,-115.9269019,85,12,1
"54",6373025,840,14,98,"FOLSOM",38.7202247,-121.0356899,72,1,3
"55",6373228,840,17,21,"LAMAR",38.1437717,-102.5212329,0,0,1
"56",6370808,840,17,213,"LIMON",39.373985,-103.7867237,1,0,2
"57",6373564,840,17,221,"NEEGRANDE",38.2958688,-102.7381166,7,0,1
"58",6371018,840,17,412,"PROSPECT VALLEY 2",39.9848652,-104.5086695,14,2,1
"59",6373303,840,17,46,"CASTLETON",38.5920517,-106.9174979,25,8,1
"60",6371052,840,17,48,"GUFFEY",38.982811,-105.5746738,11,0,7
"61",6371127,840,17,5,"BRIGGSDALE",40.5963537,-104.2027819,2,1,3
"62",6373061,840,17,903,"MESAVERDE NP",37.2704067,-108.4824304,117,4,6
"63",6370843,840,18,116,"GRANBY",41.8805267,-72.9557559,136,15,3
"64",6370902,840,2,140,"DAUPHIN IS 2",30.248466,-88.1123348,220,3,2
"65",6371705,840,2,211,"AUTAUGAVILLE",32.4860839,-86.5697685,8,3,5
"66",6370745,840,2,218,"BAY MINETTE",30.803493,-87.6374375,128,0,5
"67",6370828,840,2,24,"SPRAGUE",32.1312407,-86.2754989,14,1,1
"68",6372052,840,2,48,"EPES",32.6807827,-88.1229309,18,6,1
"69",6370823,840,2,65,"CALEBEE",32.4341515,-85.8711729,18,0,1
"70",6371262,840,25,113,"ISLAND GROVE",29.4553574,-82.119094,122,0,1
