"","RouteDataID","CountryNum","StateNum","Route","RouteName","Latitude","Longitude","NCar","Noise","BirdCount"
"1",6363895,124,11,85,"HUDSON HOPE",56.03028,-121.90827,78,0,1
"2",6364850,124,4,310,"CHAIN LAKES",50.27017,-114.20751,26,7,2
"3",6364967,124,45,111,"ELVA",49.28134,-101.30176,2,0,7
"4",6366962,124,45,209,"GRAND CLAIRI",49.50274,-100.70386,0,0,2
"5",6366699,124,45,218,"BIRNIE",50.58765,-99.44659,0,10,1
"6",6366902,124,45,9,"CROLL",49.34073,-100.12712,37,0,1
"7",6366415,124,57,10,"O'REGANS",47.86874,-59.19222,64,3,1
"8",6365633,124,57,125,"FLOWERS COVE",51.31228,-56.74056,44,3,1
"9",6364710,124,57,14,"BUCHANS",48.80759,-56.78723,32,0,1
"10",6365891,124,57,6,"GRAND BANK",47.09373,-55.73472,66,0,1
"11",6366749,124,68,260,"GERALDTON",49.7346,-86.94987,0,0,1
"12",6363944,124,68,312,"GLENDOWER",44.54259,-76.67859,13,0,45
"13",6364491,124,68,9,"GODERICH",43.83194,-81.69966,38,1,1
"14",6363979,124,76,107,"Les Cèdres",45.3488075,-74.0276096,43,2,1
"15",6365195,124,76,59,"MONT JOLI",48.54875,-68.22258,147,0,1
"16",6364572,124,76,68,"PTE-A-LA-FRÉGATE",49.20396,-64.92619,86,2,70
"17",6366901,124,76,70,"ILES DE LA MADELEINE",47.39233,-61.90239,102,4,20
"18",6365526,124,79,104,"CEYLON",49.43546,-104.58456,0,0,4
"19",6365806,124,79,113,"EDENWOLD",50.57177,-104.27272,15,0,2
"20",6364672,124,79,133,"ASQUITH",52.23109,-107.40788,123,9,1
"21",6364910,124,79,250,"Cabana Road",54.07823,-108.27759,62,2,1
"22",6366814,124,79,33,"BIGGAR",52.23764,-107.97894,2,0,10
"23",6364479,124,79,40,"PARK VALLEY",53.71513,-106.7304,3,0,1
"24",6366908,124,79,402,"Mankota",49.45006,-107.48622,7,0,3
"25",6365864,124,79,420,"Bordeland",49.02875,-105.99056,3,0,1
"26",6363765,840,14,112,"PEARBLOSSOM",34.5208799,-117.9406162,86,0,3
"27",6366717,840,14,122,"CUYAMACA PK",32.9845324,-116.6771527,110,0,2
"28",6366377,840,14,127,"SANGER",36.6992615,-119.5118359,75,0,21
"29",6366714,840,14,137,"JACUMBA",32.6119997,-116.2002339,124,0,4
"30",6365866,840,14,153,"GOLD HILL",38.7687607,-120.9253159,196,0,1
"31",6363928,840,14,172,"MORAGA",37.8183531,-122.1464708,324,0,1
"32",6364705,840,14,176,"CLEAR LK RES",41.8190067,-121.0692617,0,0,4
"33",6365972,840,14,190,"COPPEROPOLIS",37.9834939,-120.6452578,616,0,1
"34",6367206,840,14,193,"BODEGA BAY",38.3407717,-123.0480649,93,7,20
"35",6364874,840,14,21,"HUGHSON",37.5947824,-120.860951,143,0,1
"36",6365247,840,14,22,"BASS LAKE",37.3670857,-119.6302109,78,3,1
"37",6366727,840,14,226,"ANZA 2",33.5014318,-116.7979649,376,0,1
"38",6365338,840,14,240,"WILLOW SPRINGS 2",34.971073,-118.148742,21,0,8
"39",6365793,840,14,37,"VALLEY WELLS",35.473722,-115.7029053,0,0,2
"40",6364080,840,14,408,"MADELINE",41.0534621,-120.4745547,2,2,1
"41",6365454,840,14,421,"COULTERVILLE",37.7104224,-120.1968622,11,2,3
"42",6366035,840,14,427,"ALAMAR",34.7072417,-119.6177289,0,0,2
"43",6363720,840,14,48,"GLAMIS",33.0446677,-115.1445009,1,1,8
"44",6363725,840,14,49,"PALO VERDE",33.4048617,-114.7292329,94,2,31
"45",6363797,840,14,503,"Tracy 2",37.665124,-121.73284,120,5,1
"46",6364106,840,14,51,"ANZA BORREGO",32.903954,-116.23272,22,1,5
"47",6366258,840,14,58,"EUREKA VAL",37.2267497,-117.7611699,0,0,1
"48",6363875,840,14,59,"INYOKERN",35.6076917,-117.800197,67,6,5
"49",6366849,840,14,64,"TECOPA",35.8040435,-116.1930811,7,0,2
"50",6365957,840,14,82,"WOODFORDS",38.7754607,-119.8237379,62,15,2
"51",6365164,840,14,83,"FAIRFAX",37.9851247,-122.5909499,210,5,6
"52",6363730,840,14,89,"NILAND",33.2200507,-115.4847789,82,1,24
"53",6365837,840,14,907,"CHOLLA GARD.",33.9250177,-115.9269019,73,5,1
"54",6365854,840,17,204,"DEADMAN RD.",40.7597487,-105.4722069,21,0,1
