"V1","V2"
100,-6.09387755761799
100,-6.10944107356053
100,-6.21190865794206
100,-6.1384869655362
100,-6.16869220792834
200,-6.17651103370397
200,-6.18217798655676
200,-6.18380459355995
200,-6.184431759249
200,-6.12947272849387
300,-6.14343390431951
300,-6.16072698397609
300,-6.11026022953793
300,-6.08032857876309
300,-6.10989927102437
400,-6.12072653921065
400,-6.09842828246341
400,-6.12136846359113
400,-6.08720309283616
400,-6.11431634447581
500,-6.07414655882143
500,-6.11281844276614
500,-6.09507282361317
500,-6.10242107872983
500,-6.09415672668005
